ID,locale,title,descr
82181523-1892-4f31-99ac-e8eeb2090ce3,pt,title-19783298,descr-19783298
82181523-1892-4f31-99ac-e8eeb2090ce3,sv,title-19783299,descr-19783299
714025b7-eaa6-406f-9912-e325b4ae434c,ru,title-31113884,descr-31113884
714025b7-eaa6-406f-9912-e325b4ae434c,sv,title-31113885,descr-31113885
71402607-b2b5-4320-90d3-8a0ce2ab992a,ms,title-29518696,descr-29518696
71402607-b2b5-4320-90d3-8a0ce2ab992a,it,title-29518697,descr-29518697
714027bd-33b8-42ab-b478-9fee4ffd62fe,nl,title-12703962,descr-12703962
714027bd-33b8-42ab-b478-9fee4ffd62fe,sv,title-12703963,descr-12703963
71402810-827c-43d5-ac39-b10baa932bd7,de,title-14621078,descr-14621078
71402810-827c-43d5-ac39-b10baa932bd7,fr,title-14621079,descr-14621079
7140294b-7a54-4c35-9b6d-f5530356f14c,fi,title-12353233,descr-12353233
7140294b-7a54-4c35-9b6d-f5530356f14c,pl,title-12353234,descr-12353234
714030a7-404f-492c-a59c-e9afdf3d9e06,ja,title-19709262,descr-19709262
714030a7-404f-492c-a59c-e9afdf3d9e06,pl,title-19709263,descr-19709263
71403151-f8cb-4c05-9c60-9c42ba8a5bf5,es,title-16266387,descr-16266387
71403151-f8cb-4c05-9c60-9c42ba8a5bf5,ru,title-16266388,descr-16266388
7140325e-7abe-4712-a40f-24179c64cc6b,ru,title-5887162,descr-5887162
7140325e-7abe-4712-a40f-24179c64cc6b,ro,title-5887163,descr-5887163
7140337d-c909-4e5f-9bc2-904c8312c738,tr,title-20544091,descr-20544091
7140337d-c909-4e5f-9bc2-904c8312c738,it,title-20544092,descr-20544092
71403423-0f76-490a-b96c-a85ffbdd387d,ms,title-7225749,descr-7225749
71403423-0f76-490a-b96c-a85ffbdd387d,ko,title-7225750,descr-7225750
18667033-66af-46d7-87eb-88bd2e7f7266,th,title-11534521,descr-11534521
18667033-66af-46d7-87eb-88bd2e7f7266,sv,title-11534522,descr-11534522
10729121-2a53-4df7-beeb-25168cd48dc1,cs,title-26179004,descr-26179004
10729121-2a53-4df7-beeb-25168cd48dc1,fi,title-26179005,descr-26179005
30317736-54da-4e0d-808a-16d926169f2d,da,title-9910756,descr-9910756
30317736-54da-4e0d-808a-16d926169f2d,ro,title-9910757,descr-9910757
64761930-f42c-4212-9c13-97aaf2a8812a,ro,title-8370694,descr-8370694
64761930-f42c-4212-9c13-97aaf2a8812a,de,title-8370695,descr-8370695
93547928-2d85-4617-8dd4-8302c0d8268b,ms,title-1429650,descr-1429650
93547928-2d85-4617-8dd4-8302c0d8268b,es,title-1429651,descr-1429651
13159999-f57c-4f15-b929-4f5882eeab46,da,title-21413679,descr-21413679
13159999-f57c-4f15-b929-4f5882eeab46,fi,title-21413680,descr-21413680
18288148-872d-4546-98db-2ee4e948c865,zh,title-22815074,descr-22815074
18288148-872d-4546-98db-2ee4e948c865,ar,title-22815075,descr-22815075
23536645-9a3d-45d0-8c0c-843f6cdff04d,es,title-30373392,descr-30373392
23536645-9a3d-45d0-8c0c-843f6cdff04d,ru,title-30373393,descr-30373393
15632631-b959-4f41-876f-9bfe27163dd1,ms,title-12464715,descr-12464715
15632631-b959-4f41-876f-9bfe27163dd1,cs,title-12464716,descr-12464716
