code,locale,name,descr
976,fr,name-12603322,descr-12603322
976,it,name-12603323,descr-12603323
232,pl,name-24741833,descr-24741833
232,fr,name-24741834,descr-24741834
233,de,name-11507881,descr-11507881
233,da,name-11507882,descr-11507882
234,tr,name-12870354,descr-12870354
234,cs,name-12870355,descr-12870355
235,fi,name-4329410,descr-4329410
235,ro,name-4329411,descr-4329411
236,hu,name-28590374,descr-28590374
236,cs,name-28590375,descr-28590375
237,pl,name-14363451,descr-14363451
237,tr,name-14363452,descr-14363452
238,ko,name-22067989,descr-22067989
238,ro,name-22067990,descr-22067990
239,hu,name-18582218,descr-18582218
239,ro,name-18582219,descr-18582219
240,sv,name-10918500,descr-10918500
240,th,name-10918501,descr-10918501
